"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 14:07:43 UTC 2025","Fri Aug 29 14:07:52 UTC 2025","8483","Surefire suite","Surefire test","tests.AdminTests","tests.AdminTests","testDeleteUser","testDeleteUser","Verify Admin can delete an user"
"failed","Fri Aug 29 14:07:53 UTC 2025","Fri Aug 29 14:08:01 UTC 2025","8026","Surefire suite","Surefire test","tests.AdminTests","tests.AdminTests","testAddUser","testAddUser","Verify Admin can add a new user"
